round,strategy,true_count,bet,wagered,result,bankroll
190,BASIC,1.944,10,10,-10,975
190,COUNT,1.944,20,20,-20,845
190,DEALER,1.944,10,10,-10,940
191,BASIC,1.576,10,10,10,985
191,COUNT,1.576,20,20,-10,835
191,DEALER,1.576,10,10,-10,930
192,BASIC,2.364,10,20,20,1005
192,COUNT,2.364,20,20,20,855
192,DEALER,2.364,10,10,10,940
193,BASIC,0.0,10,10,-10,995
193,COUNT,0.0,10,10,10,865
193,DEALER,0.0,10,10,-10,930
194,BASIC,-0.174,10,10,-10,985
194,COUNT,-0.174,10,10,10,875
194,DEALER,-0.174,10,10,0,930
195,BASIC,-0.181,10,10,10,995
195,COUNT,-0.181,10,10,10,885
195,DEALER,-0.181,10,10,10,940
196,BASIC,-1.305,10,10,10,1005
196,COUNT,-1.305,10,10,10,895
196,DEALER,-1.305,10,10,10,950
197,BASIC,-1.368,10,10,-5,1000
197,COUNT,-1.368,10,10,0,895
197,DEALER,-1.368,10,10,10,960
198,BASIC,-2.226,10,20,0,1000
198,COUNT,-2.226,10,10,-10,885
198,DEALER,-2.226,10,10,10,970
199,BASIC,-2.325,10,20,-10,990
199,COUNT,-2.325,10,10,-10,875
199,DEALER,-2.325,10,10,10,980
200,BASIC,-2.889,10,30,30,1020
200,COUNT,-2.889,10,40,40,915
200,DEALER,-2.889,10,10,10,990
201,BASIC,-2.889,10,10,-10,1010
201,COUNT,-2.889,10,10,-10,905
201,DEALER,-2.889,10,10,10,1000
202,BASIC,-2.777,10,20,-20,990
202,COUNT,-2.777,10,10,0,905
202,DEALER,-2.777,10,10,0,1000
203,BASIC,-2.918,10,10,-10,980
203,COUNT,-2.918,10,10,10,915
203,DEALER,-2.918,10,10,-10,990
204,BASIC,-4.0,10,10,-10,970
204,COUNT,-4.0,10,10,0,915
204,DEALER,-4.0,10,10,-10,980
205,BASIC,-4.561,10,10,-10,960
205,COUNT,-4.561,10,10,-10,905
205,DEALER,-4.561,10,10,-10,970
206,BASIC,-4.937,10,10,15,975
206,COUNT,-4.937,10,10,0,905
206,DEALER,-4.937,10,10,15,985
207,BASIC,-6.324,10,10,-10,965
207,COUNT,-6.324,10,10,-5,900
207,DEALER,-6.324,10,10,-10,975
208,BASIC,-6.832,10,20,-20,945
208,COUNT,-6.832,10,10,0,900
208,DEALER,-6.832,10,10,-10,965
209,BASIC,-4.689,10,10,-10,935
209,COUNT,-4.689,10,10,-10,890
209,DEALER,-4.689,10,10,10,975
210,BASIC,-5.673,10,10,-10,925
